dataset,alpha,method,round,mean_percent,sample_sd_percent,n_seeds
organamnist,0.5,cwt,285,89.50765373650069,1.8693722634212588,3
organamnist,0.5,cwt,300,88.53977957785067,3.6495394282551255,3
organamnist,0.5,fedseq,1,18.144557836459768,1.2848947844993988,3
organamnist,0.5,fedseq,15,82.99320494938712,4.97354335220231,3
organamnist,0.5,fedseq,30,84.93860139709199,3.997058478088738,3
organamnist,0.5,fedseq,45,87.07305910761676,3.4970952324926596,3
organamnist,0.5,fedseq,60,87.37466520724288,2.038494127790369,3
organamnist,0.5,fedseq,75,87.15191421585652,4.161745641318166,3
organamnist,0.5,fedseq,90,84.5121270054446,5.489635106719245,3
organamnist,0.5,fedseq,105,87.14838531365106,3.89929552172859,3
organamnist,0.5,fedseq,120,81.94506439510424,8.723624870222976,3
organamnist,0.5,fedseq,135,88.65971068428047,3.1103171989246268,3
organamnist,0.5,fedseq,150,87.87483937608417,2.57944912586427,3
organamnist,0.5,fedseq,165,85.76677847350348,3.3829497109577837,3
organamnist,0.5,fedseq,180,87.23133354466145,2.7600828795808354,3
organamnist,0.5,fedseq,195,88.91854609058612,2.8726410562305595,3
organamnist,0.5,fedseq,210,89.1686656138903,3.125869179469333,3
organamnist,0.5,fedseq,225,88.53901181069854,3.559839858958609,3
organamnist,0.5,fedseq,240,88.95400548572988,3.338937996712134,3
organamnist,0.5,fedseq,255,89.3635574012429,2.7423849692706805,3
organamnist,0.5,fedseq,270,88.5393274080604,2.8329717210906424,3
organamnist,0.5,fedseq,285,88.95525608093878,2.331849402486137,3
organamnist,0.5,fedseq,300,89.50118006533259,2.8523092360751874,3
organamnist,0.5,fedtriad,1,27.80688566486799,5.464350988469847,3
organamnist,0.5,fedtriad,15,86.13575417503479,3.3295944291444397,3
organamnist,0.5,fedtriad,30,87.51790214282971,2.9412211612013786,3
organamnist,0.5,fedtriad,45,88.08350518393675,2.8094156614027543,3
organamnist,0.5,fedtriad,60,88.61984975534067,2.504045519439364,3
organamnist,0.5,fedtriad,75,89.83908578800384,1.815656649408163,3
organamnist,0.5,fedtriad,90,88.60027193963762,3.073526116376645,3
organamnist,0.5,fedtriad,105,89.83780756799858,2.54651537008114,3
organamnist,0.5,fedtriad,120,88.81479592073275,3.3771092329774017,3
organamnist,0.5,fedtriad,135,89.71864010061049,2.23892763058071,3
organamnist,0.5,fedtriad,150,89.33466440772547,2.59682856439164,3
organamnist,0.5,fedtriad,165,89.46048735374592,2.683084139882769,3
organamnist,0.5,fedtriad,180,89.67961878754515,2.5340948684322373,3
organamnist,0.5,fedtriad,195,90.2451683484767,2.8893560654651926,3
organamnist,0.5,fedtriad,210,89.6935478285114,2.84759982576075,3
organamnist,0.5,fedtriad,225,89.6405430382578,2.679823476084581,3
organamnist,0.5,fedtriad,240,89.68991347740669,3.094615194761707,3
organamnist,0.5,fedtriad,255,90.1678270869874,3.161681511023405,3
organamnist,0.5,fedtriad,270,90.17787777838353,2.668199537337862,3
organamnist,0.5,fedtriad,285,90.1211379570127,2.7229563298972357,3
organamnist,0.5,fedtriad,300,90.16655370781011,2.9067902040611986,3
pathmnist,0.5,fedavg,1,24.00072846032779,9.860933889716744,3
pathmnist,0.5,fedavg,15,59.057486962640695,12.03395208740215,3
